lemma	attacker_indexes	spearman_correlation	error_distance	real_order	attacker_order
fixed	[1, 2, 3]	1.0	0	['fic_1835_7353.txt-1190-8', 'fic_1851_3300.txt-3160-48', 'mag_1845_587596.txt-153-9']	['fic_1835_7353.txt-1190-8', 'fic_1851_3300.txt-3160-48', 'mag_1845_587596.txt-153-9']
fixed	[1, 4, 2, 3]	0.39999999999999997	4	['mag_1992_396000.txt-164-14', 'fic_2000_29245.txt-31-12', 'mag_1828_553929.txt-364-34', 'mag_1970_282294.txt-7-3']	['mag_1992_396000.txt-164-14', 'mag_1970_282294.txt-7-3', 'fic_2000_29245.txt-31-12', 'mag_1828_553929.txt-364-34']
fixed	[1, 2, 3]	1.0	0	['nf_1840_768793.txt-1045-33', 'news_1991_612479.txt-40-20', 'news_2001_661977.txt-17-13']	['nf_1840_768793.txt-1045-33', 'news_1991_612479.txt-40-20', 'news_2001_661977.txt-17-13']
fixed	[1, 2, 3]	1.0	0	['fic_1838_7086.txt-2732-33', 'news_1991_612479.txt-40-20', 'mag_1993_424232.txt-41-14']	['fic_1838_7086.txt-2732-33', 'news_1991_612479.txt-40-20', 'mag_1993_424232.txt-41-14']
fixed	[1, 3, 2]	0.5	2	['fic_1845_7170.txt-10436-6', 'fic_1854_9193.txt-8301-13', 'news_1991_612479.txt-40-20']	['fic_1845_7170.txt-10436-6', 'news_1991_612479.txt-40-20', 'fic_1854_9193.txt-8301-13']
fixed	[1, 4, 3, 2]	0.19999999999999998	4	['nf_1836_749613.txt-2695-7', 'fic_2009_36778.txt-461-18', 'fic_1858_1282.txt-1444-24', 'mag_2007_387325.txt-12-20']	['nf_1836_749613.txt-2695-7', 'mag_2007_387325.txt-12-20', 'fic_1858_1282.txt-1444-24', 'fic_2009_36778.txt-461-18']
fixed	[1, 3, 2]	0.5	2	['news_1972_730368.txt-11-20', 'fic_1977_10624.txt-816-11', 'mag_1854_555935.txt-131-30']	['news_1972_730368.txt-11-20', 'mag_1854_555935.txt-131-30', 'fic_1977_10624.txt-816-11']
fixed	[1, 4, 3, 2]	0.19999999999999998	4	['fic_1993_25035.txt-820-7', 'mag_1830_554067.txt-275-32', 'news_1982_671107.txt-19-96', 'fic_1835_7309.txt-3267-10']	['fic_1993_25035.txt-820-7', 'fic_1835_7309.txt-3267-10', 'news_1982_671107.txt-19-96', 'mag_1830_554067.txt-275-32']
fixed	[1, 3, 2]	0.5	2	['news_1984_670941.txt-14-43', 'nf_1821_749178.txt-186-12', 'fic_1835_7134.txt-2235-79']	['news_1984_670941.txt-14-43', 'fic_1835_7134.txt-2235-79', 'nf_1821_749178.txt-186-12']
fixed	[1, 2, 3]	1.0	0	['fic_1848_7009.txt-1181-32', 'news_1966_725841.txt-34-33', 'fic_1859_9037.txt-2260-41']	['fic_1848_7009.txt-1181-32', 'news_1966_725841.txt-34-33', 'fic_1859_9037.txt-2260-41']
