	identifier1	identifier2	lemma	dataset	annotator2	annotator5	annotator4	annotator0	annotator1	annotator3	annotator6	annotator8	annotator9	annotator7	median_label	non_nan_count
36	2532889X_1948-02-11_01_009.tcf.xml-174-75	2532889X_1952-12-04_01_034.tcf.xml-131-16	zersetzen	dwug_de				3.0		4.0					3.5	2
37	2532889X_1948-02-11_01_009.tcf.xml-174-75	2532889X_1953-04-15_01_066.tcf.xml-47-4	zersetzen	dwug_de	3.0			4.0							3.5	2
38	2532889X_1948-02-11_01_009.tcf.xml-174-75	2532889X_1960-07-06_01_172.tcf.xml-206-17	zersetzen	dwug_de	4.0			3.0	3.0	4.0					3.5	4
39	2532889X_1948-02-11_01_009.tcf.xml-174-75	2532889X_1986-04-05_01_411.tcf.xml-34-14	zersetzen	dwug_de	2.0				2.0						2.0	2
40	2532889X_1948-02-11_01_009.tcf.xml-174-75	26120215_1968_10_07_01_194.tcf.xml-98-35	zersetzen	dwug_de				4.0	4.0						4.0	2
41	2532889X_1948-02-11_01_009.tcf.xml-174-75	26120215_1985_12_14_01_316.tcf.xml-350-3	zersetzen	dwug_de	4.0					4.0					4.0	2
42	2532889X_1948-02-11_01_009.tcf.xml-174-75	beck_eisen04_1899-14550-30	zersetzen	dwug_de	2.0				2.0	2.0					2.0	3
45	2532889X_1948-02-11_01_009.tcf.xml-174-75	kerl_metallurgische_1866-7448-10	zersetzen	dwug_de	2.0			2.0	2.0	2.0					2.0	4
46	2532889X_1948-02-11_01_009.tcf.xml-174-75	lasswitz_seife_1890-606-28	zersetzen	dwug_de	3.0	2.0		2.0						3.0	2.5	4
47	2532889X_1948-02-11_01_009.tcf.xml-174-75	quenstedt_mineralogie_1854-7983-7	zersetzen	dwug_de	3.0				2.0	2.0					2.0	3
48	2532889X_1948-02-11_01_009.tcf.xml-174-75	samter_erfindungen_1896-12317-16	zersetzen	dwug_de	3.0		2.0			2.0					2.0	3
49	2532889X_1948-02-11_01_009.tcf.xml-174-75	thaer_landwirthschaft02_1810-3602-12	zersetzen	dwug_de	3.0			2.0	2.0	2.0					2.0	4
55	2532889X_1948-07-07_01_022.tcf.xml-28-22	2532889X_1953-02-08_01_037.tcf.xml-142-13	zersetzen	dwug_de					4.0	4.0					4.0	2
56	2532889X_1948-07-07_01_022.tcf.xml-28-22	2532889X_1953-04-15_01_066.tcf.xml-47-4	zersetzen	dwug_de				4.0		4.0					4.0	2
60	2532889X_1948-07-07_01_022.tcf.xml-28-22	thaer_landwirthschaft02_1810-4483-15	zersetzen	dwug_de					2.0		2.0				2.0	2
61	2532889X_1948-08-08_01_035.tcf.xml-369-60	2532889X_1953-02-08_01_037.tcf.xml-142-13	zersetzen	dwug_de					4.0	4.0					4.0	2
62	2532889X_1948-08-08_01_035.tcf.xml-369-60	2532889X_1990-08-31_01_211.tcf.xml-27-17	zersetzen	dwug_de					2.0	2.0					2.0	2
64	2532889X_1948-08-08_01_035.tcf.xml-369-60	26120215_1961_02_02_01_067.tcf.xml-19-12	zersetzen	dwug_de	4.0			4.0	4.0						4.0	3
