lemma	identifier	context	indexes_target_token	context_normalized
Naturschönheit	vischer_aesthetik0202_1848-1497-43	er ist da, er scheint vorgefunden, das Bewußtsein hält ihn für gegeben, geoffenbart; und so findet die wahrhaft schöne Phantasie ihn vor und greift hinein, um sich Stoffe daraus zu nehmen, wie aus der Welt der eigentlichen Naturschönheit.	223:237	er ist da , er scheint vorgefunden , das Bewußtsein hält ihn für gegeben , offenbart ; und so findet die wahrhaft schöne Phantasie ihn vor und greift hinein , um sich Stoffe daraus zu nehmen , wie aus der Welt der eigentlichen Naturschönheit .
Naturschönheit	vischer_aesthetik0201_1847-1537-38	Dieser Stoff bleibt ganz passiv, alle Form geht vom Künstler aus; Stoff bedeutet hier blos Material, das für ästhetische Form erst verwandt werden soll, wie der Stein vom Baumeister, wogegen uns die übrige Naturschönheit, die uns in diesem Abschnitte vorliegt, nach allen übrigen Seiten einen schon geformten Stoff vor das Auge stellt, von welchem sich nur erst fragen soll, ob er so bleiben kann oder ob er einer Umschaffung bedarf, wenn wahrhaft Schönes soll entstehen können, einen Stoff, den wir als eine nur noch unreife, zur Umbildung bestimmte Form erkennen werden, als einen Stoff im Sinne der Vorlage, des Vorbilds.	206:220	Dieser Stoff bleibt ganz passiv , alle Form geht vom Künstler aus ; Stoff bedeutet hier bloß Material , das für ästhetische Form erst verwandt werden soll , wie der Stein vom Baumeister , wogegen uns die übrige Naturschönheit , die uns in diesem Abschnitte vorliegt , nach allen übrigen Seiten einen schon geformten Stoff vor das Auge stellt , von welchem sich nur erst fragen soll , ob er so bleiben kann oder ob er einer Umschaffung bedarf , wenn wahrhaft Schönes soll entstehen können , einen Stoff , den wir als eine nur noch unreife , zur Umbildung bestimmte Form erkennen werden , als einen Stoff im Sinne der Vorlage , des Vorbilds .
Naturschönheit	vischer_aesthetik01_1846-5229-71	Ruge sagt, das Komische sey nicht selbst das Ideal, nur das erste Finden, das Erfinden der Schönheit (ebenda); aber das Komische ist so wenig als das Erhabene (vergl. §. 82, Anm.) eine Form der sich erst erzeugenden Schönheit, es ist eine Form des Schönen und sammt dem einfach Schönen und dem Erhabenen wird es auftreten zuerst in der unmittelbaren Weise der Naturschönheit, dann wahrhaft im Ideal.	360:374	Rüge sagt , das Komische sei nicht selbst das Ideal , nur das erste Finden , das Erfinden der Schönheit ( ebenda ) ; aber das Komische ist so wenig als das Erhabene ( vergl. §. 82 , Anm. ) eine Form der sich erst erzeugenden Schönheit , es ist eine Form des Schönen und samt dem einfach Schönen und dem Erhabenen wird es auftreten zuerst in der unmittelbaren Weise der Naturschönheit , dann wahrhaft im Ideal .
Naturschönheit	pfeiffer_frauenfahrt02_1850-875-4	Doch gab es der Naturschönheiten so viele, daß diese zeitweisen Beschwerden leicht zu ertragen waren, ja sogar den Reiz des Ganzen noch hoben.	16:32	Doch gab es der Naturschönheiten so viele , daß diese zeitweisen Beschwerden leicht zu ertragen waren , ja sogar den Reiz des Ganzen noch hoben .
Naturschönheit	vischer_aesthetik0202_1848-974-18	Unser Gang bestätigt sich auch hier als der rechte, der diese Antinomie löst; wir schickten die Naturschönheit voraus, stiegen erst von da zur Phantasie auf, stellten den Zufall des Ergriffenwerdens von einem naturschönen Objecte auf den Uebergang, fiengen daher nicht mit dem Begriffe der Autonomie der Phantasie an, schlossen das Wählen, an welchem Rötscher noch hält, aus und ließen die Autonomie als Umgestaltung des in das Subject eingegangenen Stoffes erst werden.	96:110	Unser Gang bestätigt sich auch hier als der rechte , der diese Antinomie löst ; wir schickten die Naturschönheit voraus , stiegen erst von da zur Phantasie auf , stellten den Zufall des Ergriffenwerdens von einem naturschönen Objekte auf den Übergang , fingen daher nicht mit dem Begriffe der Autonomie der Phantasie an , schlossen das Wählen , an welchem Röscher noch hält , aus und ließen die Autonomie als Umgestaltung des in das Subjekt eingegangenen Stoffes erst werden .
Naturschönheit	rein_japan01_1881-453-30	Zwischen Ise-no-umi und dem östlichsten Theil des Binnenmeeres bilden die Provinzen Ise, Shima, Iga, Yamato, Kii, Kawachi und Idzumi zusammen ebenfalls eine gebirgige und an Naturschönheiten sehr reiche Halbinsel, welche nur auf der Seite von Idzumi eine flache, seichte Küste hat, sonst aber durch tiefes Wasser in den vielen kleinen Buchten sich auszeichnet.	174:190	Zwischen Ise-no-umi und dem östlichsten Teil des Binnenmeeres bilden die Provinzen Isse , Shima , Iga , Yamato , Chi , Kawachi und Idzumi zusammen ebenfalls eine gebirgige und an Naturschönheiten sehr reiche Halbinsel , welche nur auf der Seite von Idzumi eine flache , seichte Küste hat , sonst aber durch tiefes Wasser in den vielen kleinen Buchten sich auszeichnet .
Naturschönheit	vischer_aesthetik01_1846-9-27	Hier wird sich zeigen, was Alles dem System verloren ginge, wenn das Räthsel schon im ersten Theile gelöst, wenn nicht vielmehr der zweite die Naturschönheit zuerst in ihrem vollen Scheine und ihrer Breite darstellen und dann erst in die Phantasie aufheben würde.	143:157	Hier wird sich zeigen , was Alles dem System verloren ginge , wenn das Rätsel schon im ersten Teile gelöst , wenn nicht vielmehr der zweite die Naturschönheit zuerst in ihrem vollen Scheine und ihrer Breite darstellen und dann erst in die Phantasie aufheben würde .
Naturschönheit	vischer_aesthetik0201_1847-169-5	Näher wird der Vorzug der Naturschönheit vor der Kunstschönheit in ihre Lebendigkeit gesetzt.	26:40	Näher wird der Vorzug der Naturschönheit vor der Kunstschönheit in ihre Lebendigkeit gesetzt .
Naturschönheit	carus_zoologie_1872-460-6	Motz, Ueber die Empfindung der Naturschönheit bei den Alten.	31:45	Motz , Über die Empfindung der Naturschönheit bei den Alten .
Naturschönheit	brehm_thierleben02_1865-12258-50	„Wenn man eine Herde Girafen, ‟ sagt Gordon Cumming, „in einem Hain der malerischen und sonnenschirmförmigen Mimosen zerstreut sieht, welche ihre heimischen Ebenen schmücken und an deren letzten Zweigen sie in Folge ihrer gewaltigen Höhe nagen können, müßte man wirklich nicht viel Sinn für Naturschönheiten haben, wollte man den Anblick nicht überaus anziehend finden. ‟	291:307	" Wenn man eine Herde Giraffen , " sagt Gordon Cumming , " in einem Hain der malerischen und sonnenschirmförmigen Mimosen zerstreut sieht , welche ihre heimischen Ebenen schmücken und an deren letzten Zweigen sie in Folge ihrer gewaltigen Höhe nagen können , müßte man wirklich nicht viel Sinn für Naturschönheiten haben , wollte man den Anblick nicht überaus anziehend finden . "
