lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos
heel_nn	nn2	1820	1	fic_1820_7562.txt-525-2	 	: 1Kb heels puts on Wings, wide as worn by Maia's son.	6:11	0:54	: 1Kb heels puts on Wings , wide as worn by Maia 's son .	2	0:15	: 1kb heel put on wing , wide as wear by maia 's son .	y fo nn2 vvz ii_rp@ nn2 y jj_rr@ csa vvn ii np1 ge nn1 y
heel_nn	nn2	1815	1	fic_1815_9352.txt-1559-11	 	Mr. Wieland Because I know by experience that he has lighter heels than I have.	61:66	0:79	Mr. Wieland Because I know by experience that he has lighter heels than I have .	11	0:16	mr.- wieland because i know by experience that he have lighter heel than i have .	nnb np1 cs ppis1 vv0 ii nn1 cst pphs1 vhz jjr nn2 csn ppis1 vh0 y
heel_nn	nn1	1853	1	fic_1853_9040.txt-1459-8	 	Sally prepared to follow, hobbling on her heel to keep the bruised portion of her foot off the ground; but the tears were yet on her face; and I called to her to wait a moment.	42:46	0:176	Sally prepared to follow , hobbling on her heel to keep the bruised portion of her foot off the ground ; but the tears were yet on her face ; and I called to her to wait a moment .	8	0:40	sally prepare to follow , hobble on her heel to keep the bruised portion of her foot off the ground ; but the tear be yet on her face ; and i call to her to wait a moment .	np1 vvd to vvi y vvg ii_rp@ appge nn1 to vvi at jj nn1 io appge nn1 ii at nn1 y ccb at nn2 vbdr rr ii appge nn1 y cc ppis1 vvd@_vvn ii ppho1 to vvi at1 nn1 y
heel_nn	nn2	1824	1	fic_1824_7278.txt-1568-20	 	A chaise had been overset in the village street, the horse was running with the broken vehicle at his heels at full speed, while half a score of men where in breathless pursuit; a little child stood	102:107	0:198	A chaise had been overset in the village street , the horse was running with the broken vehicle at his heels at full speed , while half a score of men where in breathless pursuit ; a little child stood	20	0:40	a chaise have be overset in the village street , the horse be run with the broken vehicle at his heel at full speed , while half a score of man where in breathless pursuit ; a little child stand	at1 nn1 vhd vbn jj_nn1 ii at nn1 nn1 y at nn1 vbdz vvg iw at jj nn1 ii appge nn2 ii jj nn1 y cs db at1 nn1 io nn2 cs_rrq ii jj nn1 y at1 jj nn1 vvd
heel_nn	nn1	1860	1	fic_1860_8118.txt-1879-10	 	Let the white person tread the black person under his heel!	54:58	0:59	Let the white person tread the black person under his heel !	10	0:12	let the white person tread the black person under his heel !	vv0 at jj nn1 vvi at jj nn1 ii appge nn1 !
heel_nn	nn1	1854	1	fic_1854_8328.txt-459-64	 	to man opposed; Dark forms in mimic combat closed; Upwhirled in clouds the summer dust; Quick blows were aimed, and furious thrust; With face convulsed the fallen gasped, And murd'rous hands the scalp-lock grasped; Some from the swathing-board cut loose, With seeming hate, the swart pappoose, Then raised it, struggling, by the heel, And pointed at its throat the steel; While others, on the trampled ground, Limbs of the frantic mother bound, And her shrill cry with laughter drowned.	329:333	0:486	to man opposed ; Dark forms in mimic combat closed ; Upwhirled in clouds the summer dust ; Quick blows were aimed , and furious thrust ; With face convulsed the fallen gasped , And murd'rous hands the scalp-lock grasped ; Some from the swathing-board cut loose , With seeming hate , the swart pappoose , Then raised it , struggling , by the heel , And pointed at its throat the steel ; While others , on the trampled ground , Limbs of the frantic mother bound , And her shrill cry with laughter drowned .	64	0:97	to man oppose ; dark form in mimic combat close ; upwhirled in cloud the summer dust ; quick blow be aim , and furious thrust ; with face convulse the fall gasp , and murd'rous hand the scalp-lock grasp ; some from the swathing-board cut loose , with seeming hate , the swart pappoose , then raise it , struggle , by the heel , and point at its throat the steel ; while other , on the trample ground , limb of the frantic mother bind , and her shrill cry with laughter drown .	ii nn1 vvd_vvn y jj_nn1 nn2_vvz ii nn1 nn1_vv0 vvd_vvn_jj y vvn_<sub> ii nn2 at nnt1 nn1 y jj nn2 vbdr vvn y cc jj nn1 y iw nn1 vvd at jj%_vvn vvd y cc jj_<sub> nn2 at nn1 vvd_vvn y dd ii at jj_<sub> nn1_vvn_vv0_jj@ nn1@_jj_rr@ y iw jj_vvg nn1 y at nn1 nn1_<sub> y rt vvd_vvn pph1 y vvg_jj y ii at nn1 y cc vvd_vvn ii appge nn1 at nn1 y cs nn2 y ii at jj nn1 y nn2 io at jj nn1 vvd_vvn y cc appge jj nn1 iw nn1 vvd_vvn y
heel_nn	nn2	1854	1	fic_1854_9193.txt-7092-27	 	and gestures, when propped up by cushions, one might have concluded that he had been more severely wounded in his feelings than corporeally by the heels of the ass.	147:152	0:164	and gestures , when propped up by cushions , one might have concluded that he had been more severely wounded in his feelings than corporeally by the heels of the ass .	27	0:32	and gesture , when prop up by cushion , one might have conclude that he have be more severely wound in his feeling than corporeally by the heel of the ass .	cc nn2 y cs_rrq vvn rp ii nn2 y pn1 vm vhi vvn cst pphs1 vhd vbn rgr rr vvn_vvd ii appge nn2 csn rr ii at nn2 io at nn1 y
heel_nn	nn2	1827	1	fic_1827_7169.txt-167-75	 	not one jot; and while his visage grew as sour as a cucumber, she wisely gave his humour full time to change, and whatever heat, that might have invaded the equanimity of a usual placable temper, in his impatience a sufficient opportunity to cool, a thing not likely in a phlegmatic Nieuw Nederlander to happen in a moment, except when brought to such utter extremity by kicking his heels unattended to, and waiting for a spouse who spurned his honest control in an exposed and wind swept hall on a winter's evening.	383:388	0:516	not one jot ; and while his visage grew as sour as a cucumber , she wisely gave his humour full time to change , and whatever heat , that might have invaded the equanimity of a usual placable temper , in his impatience a sufficient opportunity to cool , a thing not likely in a phlegmatic Nieuw Nederlander to happen in a moment , except when brought to such utter extremity by kicking his heels unattended to , and waiting for a spouse who spurned his honest control in an exposed and wind swept hall on a winter 's evening .	75	0:102	not one jot ; and while his visage grow as sour as a cucumber , she wisely give his humour full time to change , and whatever heat , that might have invade the equanimity of a usual placable temper , in his impatience a sufficient opportunity to cool , a thing not likely in a phlegmatic nieuw nederlander to happen in a moment , except when bring to such utter extremity by kick his heel unattended to , and wait for a spouse who spurn his honest control in an expose and wind sweep hall on a winter 's evening .	xx mc1 nn1 y cc cs appge nn1 vvd rg jj csa at1 nn1 y pphs1 rr vvd appge nn1 jj nnt1 to vvi y cc ddqv nn1 y dd1_cst vm vhi vvn at nn1 io at1 jj jj_<sub> nn1 y ii appge nn1 at1 jj nn1 to vvi y at1 nn1 xx jj_rr@ ii at1 jj nn1_np1 nn1_vv0_np1 to vvi ii_rp@ at1 nn1 y cs cs vvn ii da jj nn1 ii vvg appge nn2 jj to_ii y cc vvg if at1 nn1 pnqs vvd appge jj nn1 ii at1 jj cc nn1_vv0@ vvd_vvn_jj@ nn1 ii at1 nnt1 ge nnt1 y
heel_nn	nn2	1859	1	fic_1859_9192.txt-12629-8	 	I will keep the others close at your heels.	37:42	0:43	I will keep the others close at your heels .	8	0:10	i will keep the other close at your heel .	ppis1 vm vvi at nn2 vv0 ii appge nn2 y
heel_nn	nn2	1838	1	fic_1838_7086.txt-102-45	 	Marie was arrayed in a bright yellow spencer and brighter green petticoat, with her pretty feet -- for she had very pretty feet -- encased in clocked cotton hose, and thrust into a pair of shoes of some red stuff, and with heels full two inches high, which materially aided her position as she leaned forward to listen to	223:228	0:321	Marie was arrayed in a bright yellow spencer and brighter green petticoat , with her pretty feet -- for she had very pretty feet -- encased in clocked cotton hose , and thrust into a pair of shoes of some red stuff , and with heels full two inches high , which materially aided her position as she leaned forward to listen to	45	0:63	marie be array in a bright yellow spencer and brighter green petticoat , with her pretty foot -- for she have very pretty foot -- encase in clock cotton hose , and thrust into a pair of shoe of some red stuff , and with heel full two inch high , which materially aid her position as she lean forward to listen to	np1 vbdz vvn ii at1 jj jj nn1 cc jjr jj_nn1 nn1 y iw appge_ppho1 jj nn2 z cs pphs1 vhd rg jj nn2 z vvn_vvd ii jj@ nn1 nn1 y cc vvn_vvd_vv0_nn1 ii at1 nn io nn2 io dd jj nn1 y cc iw nn2 jj_rr% mc nnu2 jj y ddq rr vvd_vvn appge nn1 csa pphs1 vvd rl to vvi ii
