judgment	cosine_similarity
3.0	0.5093444585800171
3.0	0.3731604814529419
4.0	0.9610846638679504
2.0	0.3507222533226013
3.0	0.4535290002822876
4.0	0.9222008585929871
4.0	0.4098186790943146
4.0	0.3923717141151428
3.0	0.6276247501373291
4.0	0.4517499804496765
3.0	0.5982750654220581
3.0	0.535536527633667
3.0	0.45675888657569885
3.0	0.6634993553161621
3.0	0.5476489067077637
3.0	0.5128189921379089
3.0	0.3792247176170349
3.0	0.5742203593254089
3.0	0.5382742881774902
3.0	0.6721367835998535
3.0	0.5300036668777466
4.0	0.39732497930526733
3.0	0.6569746732711792
4.0	0.5600810050964355
4.0	0.9661277532577515
3.0	0.5027139782905579
2.0	0.2690050005912781
3.0	0.5158452391624451
3.0	0.6074904799461365
3.0	0.36770981550216675
3.0	0.5141630172729492
3.0	0.549944281578064
2.0	0.43583008646965027
3.0	0.7248028516769409
4.0	0.9610846638679504
3.0	0.48533421754837036
2.0	0.5254807472229004
3.0	0.7830365896224976
2.0	0.48435384035110474
2.0	0.5450611114501953
2.0	0.6783040165901184
2.0	0.42582106590270996
2.0	0.5128189921379089
2.0	0.3560379445552826
4.0	0.8391110897064209
4.0	0.9442676305770874
2.0	0.5027139782905579
2.0	0.5600810050964355
2.0	0.7583804726600647
2.0	0.5564783811569214
2.0	0.6569041013717651
2.0	0.6074904799461365
2.0	0.6370046138763428
2.0	0.5900695323944092
2.0	0.2690050005912781
2.0	0.9222008585929871
2.0	0.8941524624824524
2.0	0.6434758305549622
2.0	0.4406740665435791
2.0	0.25439581274986267
2.0	0.31404632329940796
2.0	0.5308414697647095
2.0	0.3585113286972046
2.0	0.4309196174144745
2.0	0.701553463935852
2.0	0.5113983750343323
2.0	0.3200087547302246
2.0	0.5518329739570618
2.0	0.635344386100769
2.0	0.5945305228233337
2.0	0.4329928159713745
2.0	0.5438624620437622
2.0	0.45675888657569885
2.0	0.7840746641159058
2.0	0.6830841898918152
2.0	0.7775781154632568
2.0	0.7527295351028442
2.0	0.6033945679664612
2.0	0.9072216153144836
2.0	0.917709231376648
3.0	0.5051301717758179
4.0	0.3324263095855713
2.0	0.30575692653656006
2.0	0.8187977075576782
3.0	0.5827628970146179
3.0	0.48824557662010193
4.0	0.9610846638679504
2.0	0.5382742881774902
2.0	0.6370046138763428
4.0	0.42582106590270996
3.0	0.4517499804496765
4.0	0.3910757601261139
2.0	0.5317566990852356
3.0	0.3827018737792969
3.0	0.5443912744522095
3.0	0.5438624620437622
