judgment	cosine_similarity
4.0	0.9142478704452515
4.0	0.9398276805877686
3.0	0.9384722113609314
3.0	0.9390697479248047
4.0	0.9671037793159485
4.0	0.961658775806427
4.0	0.8583413362503052
4.0	0.9833776950836182
4.0	0.8405338525772095
4.0	0.947090744972229
4.0	0.9794622659683228
4.0	0.981202244758606
4.0	0.9459317922592163
4.0	0.8900341987609863
4.0	0.9699944257736206
4.0	0.954237699508667
4.0	0.9474154710769653
4.0	0.976481556892395
4.0	0.8453980684280396
4.0	0.8656944632530212
4.0	0.9536268711090088
4.0	0.9721881151199341
4.0	0.9746952056884766
4.0	0.9405835866928101
4.0	0.9755078554153442
4.0	0.9761715531349182
4.0	0.9378566145896912
4.0	0.9294316172599792
4.0	0.9868311285972595
4.0	0.9248397350311279
4.0	0.9825579524040222
4.0	0.9314460754394531
4.0	0.9683648347854614
4.0	0.9305309653282166
4.0	0.9175009727478027
4.0	0.9560266733169556
4.0	0.9071237444877625
4.0	0.9576451778411865
4.0	0.9631822109222412
4.0	0.9641596078872681
4.0	0.9633284211158752
4.0	0.9578065872192383
4.0	0.9132131338119507
4.0	0.9657711386680603
4.0	0.9656356573104858
4.0	0.9701447486877441
4.0	0.911388099193573
4.0	0.9250835180282593
4.0	0.9501073360443115
4.0	0.9364845752716064
4.0	0.9793955087661743
4.0	0.9778448939323425
4.0	0.9811554551124573
4.0	0.8356521129608154
4.0	0.9163185358047485
4.0	0.9618821740150452
4.0	0.9612890481948853
4.0	0.9752269387245178
4.0	0.96103835105896
4.0	0.9584895372390747
4.0	0.8595547676086426
4.0	0.9713640213012695
4.0	0.9255666732788086
4.0	0.9916989207267761
4.0	0.9488337635993958
4.0	0.9793973565101624
4.0	0.9324523210525513
4.0	0.9648664593696594
4.0	0.9264857769012451
4.0	0.8761910200119019
4.0	0.9718058109283447
4.0	0.9271648526191711
4.0	0.9501825571060181
4.0	0.9747216701507568
4.0	0.8932521343231201
4.0	0.9322810173034668
4.0	0.9332983493804932
4.0	0.9563900828361511
4.0	0.9686155319213867
4.0	0.9775313138961792
4.0	0.9793973565101624
4.0	0.9806859493255615
4.0	0.9536268711090088
3.0	0.9175009727478027
4.0	0.9305309653282166
4.0	0.9700150489807129
3.0	0.9324523210525513
4.0	0.9580049514770508
4.0	0.9930652379989624
4.0	0.9694548845291138
4.0	0.9460126161575317
3.0	0.9322810173034668
4.0	0.911388099193573
4.0	0.8431751728057861
4.0	0.9699944257736206
4.0	0.9789084196090698
4.0	0.9425463676452637
4.0	0.8986091017723083
4.0	0.9592092037200928
4.0	0.9710914492607117
4.0	0.9794622659683228
4.0	0.9775533080101013
4.0	0.9671037793159485
4.0	0.9142478704452515
3.0	0.9885756969451904
4.0	0.7934868335723877
4.0	0.9474154710769653
4.0	0.9721125364303589
4.0	0.9248397350311279
3.0	0.9492455720901489
3.0	0.9047760367393494
4.0	0.9264569282531738
3.0	0.9283043146133423
4.0	0.955235481262207
3.0	0.9657191038131714
3.0	0.9499646425247192
4.0	0.9755078554153442
3.0	0.9364845752716064
2.0	0.9536935687065125
3.0	0.9821351766586304
4.0	0.9284617900848389
4.0	0.9501073360443115
4.0	0.975419282913208
3.0	0.9755716919898987
3.0	0.9269241094589233
3.0	0.892368495464325
4.0	0.9641596078872681
4.0	0.9746952056884766
3.0	0.9188183546066284
4.0	0.981344997882843
4.0	0.8656944632530212
4.0	0.9325683116912842
3.0	0.8595547676086426
4.0	0.9534533023834229
3.0	0.9071237444877625
4.0	0.9332983493804932
4.0	0.9364508390426636
4.0	0.9778448939323425
