lemma	identifier	context	indexes_target_token	context_normalized
vorweisen	steinen_naturvoelker_1894-9948-19	Nun besitze er aber ein verbessertes System von „palmatorios“, die er uns auch in zwei Exemplaren vorwies.	98:105	Nun besitze er aber ein verbessertes System von " palmatorios " , die er uns auch in zwei Exemplaren vorwies .
vorweisen	burckhardt_cicerone_1855-18498-17	Galerie, motivirt die Rührung der M. dadurch, dass zwei Engel ihr die Nägel vom Kreuz vorweisen müssen); — S.	86:95	Galerie , motiviert die Rührung der M. dadurch , dass zwei Engel ihr die Nägel vom Kreuz vorweisen müssen ) ; -- S.
vorweisen	nn_nrhz058b_1848-256-20	Die Originale der von ihren Verfassern eigenhändig zu unterzeichnenden Aufsätze sind dem Drucker einzuhändigen, der sie bei gerichtlicher Verfolgung vorzuweisen hat.	149:160	Die Originale der von ihren Verfassern eigenhändig zu unterzeichnenden Aufsätze sind dem Drucker einzuhändigen , der sie bei gerichtlicher Verfolgung vorzuweisen hat .
vorweisen	ranke_reformation05_1843-205-5	Nachdem hierauf die kaiserliche Vollmacht vorgewiesen war — das Original auf Pergament, von dem ausdrücklich bemerkt wird, es sey darin nichts ausgestrichen oder radirt gewesen, mit dem kaiserlichen Insiegel, — verlas Velasco die Protestation, in welcher der Kaiser aus den öfter erwähnten Gründen, die er noch einmal zusammenfaßte, die unverzügliche Rückkehr der versammelten Prälaten nach Trient forderte.	42:53	Nachdem hierauf die kaiserliche Vollmacht vorgewiesen war -- das Original auf Pergament , von dem ausdrücklich bemerkt wird , es sei darin nichts ausgestrichen oder radiert gewesen , mit dem kaiserlichen Insiegel , -- verlas Velasco die Protestation , in welcher der Kaiser aus den öfter erwähnten Gründen , die er noch einmal zusammenfaßte , die unverzügliche Rückkehr der versammelten Prälaten nach Trient forderte .
vorweisen	lehnert_seehaefen01_1891-3022-27	Ich hatte nichts Eiligeres zu thun, als mir zur Vervollständigung meiner Sammlung die vier uralten Schüsseln mit gut erhaltener Malerei zu erwerben, welche man uns vorwies.	164:171	Ich hatte nichts Eiligeres zu tun , als mir zur Vervollständigung meiner Sammlung die vier uralten Schüsseln mit gut erhaltener Malerei zu erwerben , welche man uns vorwies .
vorweisen	bluntschli_voelkerrecht_1868-3052-15	Zum Beweise der Nationalität dienen die öffentlich beurkundeten Schiffspapiere, welche von dem Schiffscapitän nöthigenfalls vorzuweisen sind.	124:135	Zum Beweise der Nationalität dienen die öffentlich beurkundeten Schiffspapiere , welche von dem Schiffskapitän nötigenfalls vorzuweisen sind .
vorweisen	heckert_schulgesetzgebung_1847-5743-32	5) Evangelische Candidaten des Predigtamts, welche sich zu diesen Prüfungen melden, sollen das theologische Examen pro candidatura vor dem Consistorio bereits bestanden haben und über dessen Ausfall ein Zeugniß vorzuweisen gehalten sein.	211:222	5 ) Evangelische Kandidaten des Predigtamts , welche sich zu diesen Prüfungen melden , sollen das theologische Examen pro candidatura vor dem Konsistorio bereits bestanden haben und über dessen Ausfall ein Zeugnis vorzuweisen gehalten sein .
vorweisen	humboldt_aequinoktial04_1859-949-29	Da die überschwengliche Freigebigkeit der Natur in diesen Himmelsstrichen für die Hauptursache gilt, warum die Menschen so träge sind, so vergessen die Missionäre, wenn sie Marimahemden vorweisen, nie die Bemerkung zu machen, „in den Wäldern am Orinoko wachsen die Kleider fertig auf den Bäumen“.	186:195	Da die überschwengliche Freigebigkeit der Natur in diesen Himmelsstrichen für die Hauptursache gilt , warum die Menschen so träge sind , so vergessen die Missionäre , wenn sie Marimahemden vorweisen , nie die Bemerkung zu machen , " in den Wäldern am Orinoco wachsen die Kleider fertig auf den Bäumen " .
vorweisen	keller_sinngedicht_1882-1590-20	Da kam Schwendtner mit der Pistole in der Hand und verlangte, ich sollte „seinen Jungen“ der Gesellschaft vorweisen.	106:115	Da kam Schwendtner mit der Pistole in der Hand und verlangte , ich sollte " seinen Jungen " der Gesellschaft vorweisen .
vorweisen	nn_nrhz081_1848-232-28	Wenn also ein solcher Befehl von vorne herein da sein muß, so sehe ich nicht ein, warum er nicht den Betheiligten bei der Haussuchung selbst sofort vorgewiesen werden soll.	148:159	Wenn also ein solcher Befehl von vorne herein da sein muß , so sehe ich nicht ein , warum er nicht den Beteiligten bei der Haussuchung selbst sofort vorgewiesen werden soll .
vorweisen	treitschke_geschichte05_1894-5996-17	Oft verfuhr er wie ein Gelehrter oder ein gebildeter Althändler, der die Prachtexemplare aus seiner Sammlung vorwies und dann die Eigenthümlichkeiten dieser merkwürdigen Stücke des Menschengeschlechts sinnig betrachtend erläuterte; ja einzelne Bauern waren, wenn man sie näher ansah, doch nur verkleidete Juden, denn wo das dämmernde Gemüthsleben des Volks geschildert werden soll, da läßt sich die Stimme der Natur durch alle Kunstfertigkeit niemals ganz ersetzen.	109:116	Oft verfuhr er wie ein Gelehrter oder ein gebildeter Althändler , der die Prachtexemplare aus seiner Sammlung vorwies und dann die Eigentümlichkeiten dieser merkwürdigen Stücke des Menschengeschlechts sinnig betrachtend erläuterte ; ja einzelne Bauern waren , wenn man sie näher ansah , doch nur verkleidete Juden , denn wo das dämmernde Gemütsleben des Volks geschildert werden soll , da läßt sich die Stimme der Natur durch alle Kunstfertigkeit niemals ganz ersetzen .
vorweisen	buechner_werke_1879-9044-17	Es ist dies nur als eine vom Gesetze vorgeschriebene Förmlichkeit zu betrachten; ich muß ein Papier vorweisen können, so unbedeutend es auch sei....	100:109	Es ist dies nur als eine vom Gesetze vorgeschriebene Förmlichkeit zu betrachten ; ich muß ein Papier vorweisen können , so unbedeutend es auch sei . ...
vorweisen	moerike_nolten02_1832-1822-66	„Will man den Weibern einmal nichts Anderes lassen, als das beliebte Nähen, Stricken, Bandmalen oder Sticken, und was damit verwandt seyn mag, so sollte man mir gegen eine Arbeit wie diese, wenn ich es je bis dahin brächte, die Nase wahrhaftig nicht rümpfen, denn die Strickerin wollt’ ich doch sehen, die schönere Maschen und künstlichere Filets vorweisen könnte, als Sie, mein Fräulein, hier bei diesen Linien und Graden gemacht haben!“	347:356	" Will man den Weibern einmal nichts Anderes lassen , als das beliebte Nähen , Stricken , Bandmalen oder Sticken , und was damit verwandt sein mag , so sollte man mir gegen eine Arbeit wie diese , wenn ich es je bis dahin brächte , die Nase wahrhaftig nicht rümpfen , denn die Strickerin wollte ich doch sehen , die schönere Maschen und künstlichere Filets vorweisen könnte , als Sie , mein Fräulein , hier bei diesen Linien und Geraden gemacht haben ! "
vorweisen	nn_nrhz067_1848-136-6	„Der Verhaftbefehl soll dem Verhafteten vorgewiesen und zugestellt werden“.	40:51	" Der Verhaftbefehl soll dem Verhafteten vorgewiesen und zugestellt werden " .
vorweisen	nn_nrhz290_1849-104-21	Die Kreuzritter-Spionage nach allen vier Weltgegenden hatte unsern Knecht auch zu seinem Standrechtsbruder Simons geführt, der ihm dann die Bescherung vorwies.	151:158	Die Kreuzritter-Spionage nach allen vier Weltgegenden hatte unseren Knecht auch zu seinem Standrechtsbruder Simons geführt , der ihm dann die Bescherung vorwies .
vorweisen	moerike_nolten02_1832-2526-11	Aber den Ring muß ich erst haben, ich muß ihn vorweisen können.“	46:55	Aber den Ring muß ich erst haben , ich muß ihn vorweisen können . "
vorweisen	nn_nrhz112_1848-430-81	‒ Was das Letzte betrifft, so ist es möglich, daß der Umstand, daß nun ein kaiserlicher Prinz den Horden Jellachichs entgegentritt, diese stutzig und von ihm abwendig macht. ‒ Ferner haben nach einem aus Kesthely datirten Bericht des königl. Kommissars Csanzi die Offiziere von Nikolaus Husaren unter Major Bubea, sodann die Offiziere von Alexander Husaren unter Rittmeister Barizay, beide unter den Befehlen Teleckis stehend, Jellachich durch eine Adresse aufgefordert, ihnen den kaiserlichen Befehl vorzuweisen, welcher ihn ermächtige, einen Feldzug wider Ungarn zu unternehmen.	501:512	- Was das Letzte betrifft , so ist es möglich , daß der Umstand , daß nun ein kaiserlicher Prinz den Horden Jellachichs entgegentritt , diese stutzig und von ihm abwendig macht. - Ferner haben nach einem aus Kesthely datierten Bericht des königl. Kommissars Csanzi die Offiziere von Nikolaus Husaren unter Major Bube , sodann die Offiziere von Alexander Husaren unter Rittmeister Barizay , beide unter den Befehlen Teleckis stehend , Jellachich durch eine Adresse aufgefordert , ihnen den kaiserlichen Befehl vorzuweisen , welcher ihn ermächtige , einen Feldzug wider Ungarn zu unternehmen .
vorweisen	steinen_naturvoelker_1894-10860-11	Man zog von Hütte zu Hütte, Alle mussten ihre Messer vorweisen und wir sahen zu unserm Erstaunen, dass deren in Hülle und Fülle vorhanden waren (bei einer Frau zählten wir 21 Stück).	53:62	Man zog von Hütte zu Hütte , Alle mussten ihre Messer vorweisen und wir sahen zu unserem Erstaunen , dass deren in Hülle und Fülle vorhanden waren ( bei einer Frau zählten wir 21 Stück ) .
vorweisen	brehm_thierleben06_1869-16473-8	Als der Pariser Naturforscher seine Zeichnungen und Photographien vorwies, sagte man:	66:73	Als der Pariser Naturforscher seine Zeichnungen und Photographien vorwies , sagte man :
vorweisen	nn_nrhz082_1848-513-18	Hierauf interpellirte der Abg. Smolka den Minister Dobblhof, indem er einen amtlichen Erlaß des Kreisamtes zu Zolkiem vorwies, wonach dieses auf eine Verfügung des Landesguberniums vom 29. Juni erklärt, daß es den Nationalgarden nicht erlaubt sei, außer ihrem Orte Waffen und Uniformen zu tragen, und daß ferner die Ausweiskarten der Kommandanten nicht als Legitimationsdokumente gelten sollen.	118:125	Hierauf interpellierte der Abg. Smolka den Minister Dobblhof , indem er einen amtlichen Erlaße des Kreisamtes zu Zolkiem vorwies , wonach dieses auf eine Verfügung des Landesguberniums vom 29. Juni erklärt , daß es den Nationalgarden nicht erlaubt sei , außer ihrem Orte Waffen und Uniformen zu tragen , und daß ferner die Ausweiskarten der Kommandanten nicht als Legitimationsdokumente gelten sollen .
vorweisen	burckhardt_cicerone_1855-11341-26	(Joseph in den Brunnen gesenkt; an den Midianiter verkauft; die Tödtung des Böckleins; das mit dessen Blut gefärbte Kleid wird dem Jacob vorgewiesen etc.) An diesen in Form und Gedanken trefflichen Arbeiten machte auch der etwas ältere Genosse, Alfonso Lombardi, eine neue Schule durch.	137:148	( Joseph in den Brunnen gesenkt ; an den Midianiter verkauft ; die Tötung des Böckleins ; das mit dessen Blut gefärbte Kleid wird dem Jacob vorgewiesen etc. ) An diesen in Form und Gedanken trefflichen Arbeiten machte auch der etwas ältere Genosse , Alfonso Lombarde , eine neue Schule durch .
vorweisen	treitschke_geschichte02_1882-1485-71	In manchen gelehrten Kreisen trat der kindische Adelshaß so auffällig hervor, daß die Schüler selbst darauf rechneten: als der junge Karl v. Holtei in Breslau seine Prüfungsarbeit zu schreiben hatte und sich nicht ganz sattelfest fühlte, ließ er weislich das „von“ aus der Unterschrift hinweg und beobachtete dann ergötzt, wie die Lehrer die Köpfe zusammensteckten und einander dies köstliche Probstück jugendlichen Bürgermuthes mit befriedigtem Lächeln vorwiesen.	454:463	In manchen gelehrten Kreisen trat der kindische Adelshaß so auffällig hervor , daß die Schüler selbst darauf rechneten : als der junge Karl v. Holtei in Breslau seine Prüfungsarbeit zu schreiben hatte und sich nicht ganz sattelfest fühlte , ließ er weislich das " von " aus der Unterschrift hinweg und beobachtete dann ergötzt , wie die Lehrer die Köpfe zusammensteckten und einander dies köstliche Probstück jugendlichen Bürgermutes mit befriedigtem Lächeln vorwiesen .
vorweisen	paul_titan03_1802-647-9	Da der gemeine Soldat seine Briefe vorher seinem Offizier vorweisen muß — der Bastillen-Garnisonist seine dem Gouverneur — der Mönch seine dem Prior — der amerikanische Kolonist seine dem Holländer (damit er sie verbrenne, wenn sie über ihn klagen) —:	58:67	Da der gemeine Soldat seine Briefe vorher seinem Offizier vorweisen muß -- der Bastillen-Garnisonist seine dem Gouverneur -- der Mönch seine dem Prior -- der amerikanische Kolonist seine dem Holländer ( damit er sie verbrenne , wenn sie über ihn klagen ) -- :
vorweisen	nn_nrhz081_1848-231-15	Die Friststellung von 24 Stunden, binnen welcher nach dem Vorschlag des Verfassungsausschusses der Haussuchungsbefehl vorgewiesen werden soll, ist ganz überflüssig, denn ohne richterlichen Befehl, (wie der Ausschuß vorschreibt) darf ja keine Haussuchung vorgenommen werden.	118:129	Die Friststellung von 24 Stunden , binnen welcher nach dem Vorschlag des Verfassungsausschusses der Haussuchungsbefehl vorgewiesen werden soll , ist ganz überflüssig , denn ohne richterlichen Befehl , ( wie der Ausschuß vorschreibt ) darf ja keine Haussuchung vorgenommen werden .
vorweisen	buechner_werke_1879-9043-28	Vor Allem muß ich Euch sagen, daß man mir auf besondere Verwendung eine Sicherheitskarte versprochen hat, im Fall ich einen Geburts-(nicht Heimats-) Schein vorweisen könnte.	156:165	Vor Allem muß ich Euch sagen , daß man mir auf besondere Verwendung eine Sicherheitskarte versprochen hat , im Fall ich einen Geburts- ( nicht Heimats- ) Schein vorweisen könnte .
vorweisen	nn_nrhz067_1848-62-16	Dieser Befehl muß im Augenblick der Verhaftung oder spätestens innerhalb der nächsten 24 Stunden dem Verhafteten vorgewiesen werden.	113:124	Dieser Befehl muß im Augenblick der Verhaftung oder spätestens innerhalb der nächsten 24 Stunden dem Verhafteten vorgewiesen werden .
