lemma	label	cosine_similarity
attack	4.0	0.8509951233863831
attack	3.0	0.5249142050743103
attack	4.0	0.5620293617248535
attack	4.0	0.908896803855896
attack	2.6666666666666665	0.5443912744522095
attack	4.0	0.873310923576355
attack	3.0	0.6904240846633911
attack	3.5	0.44859468936920166
attack	2.5	0.7929717898368835
attack	4.0	0.9192696213722229
attack	4.0	0.7698996067047119
attack	4.0	0.8408639430999756
attack	3.5	0.650153398513794
attack	4.0	0.8315565586090088
attack	4.0	0.9301296472549438
attack	3.0	0.5476489067077637
attack	3.0	0.8070473074913025
attack	2.0	0.5555925369262695
attack	4.0	0.8857582807540894
attack	2.0	0.8607233762741089
attack	2.5	0.8164585828781128
attack	4.0	0.6815999150276184
attack	2.75	0.5438624620437622
attack	3.0	0.555493950843811
attack	3.75	0.6768785715103149
attack	3.0	0.4535290002822876
attack	3.0	0.6985645294189453
attack	2.6	0.5564783811569214
attack	3.3333333333333335	0.5630574226379395
attack	3.0	0.5177981853485107
attack	3.5	0.5235047340393066
attack	4.0	0.930262565612793
attack	3.0	0.5040900707244873
attack	3.0	0.5497583150863647
attack	1.0	0.5673249959945679
attack	3.0	0.7491477131843567
attack	2.0	0.5044835805892944
attack	3.0	0.3969373106956482
attack	3.0	0.5922834873199463
attack	1.0	0.6892518997192383
attack	4.0	0.9579969644546509
attack	4.0	0.9800901412963867
attack	2.6666666666666665	0.4406740665435791
attack	4.0	0.8809798955917358
attack	4.0	0.9093605875968933
attack	2.6	0.5141630172729492
attack	4.0	0.9812557697296143
attack	4.0	0.9687212705612183
attack	4.0	0.9724531173706055
attack	4.0	0.8386824727058411
attack	3.5	0.9160691499710083
attack	4.0	0.9675318598747253
attack	4.0	0.8982741832733154
attack	4.0	0.6774497628211975
attack	4.0	0.5200417041778564
attack	2.6666666666666665	0.543458104133606
attack	4.0	0.975023627281189
attack	4.0	0.8784290552139282
attack	4.0	0.8831208944320679
attack	4.0	0.9519978761672974
attack	2.3333333333333335	0.6119866371154785
attack	4.0	0.8984661102294922
attack	2.3333333333333335	0.45675888657569885
attack	4.0	0.8736786842346191
attack	4.0	0.8918290138244629
attack	3.3333333333333335	0.9610119462013245
attack	4.0	0.9367536902427673
attack	3.0	0.8941774964332581
attack	4.0	0.9297200441360474
attack	3.5	0.8743740320205688
attack	3.5	0.4738253653049469
attack	3.0	0.9221069812774658
attack	1.0	0.27079302072525024
attack	3.5	0.9112303256988525
attack	3.0	0.3501359224319458
attack	4.0	0.803169846534729
attack	3.0	0.4337484836578369
attack	3.5	0.9101893901824951
attack	4.0	0.7617836594581604
attack	3.0	0.42919355630874634
attack	2.5	0.6721367835998535
attack	4.0	0.6713812947273254
attack	3.6666666666666665	0.41726863384246826
attack	3.6666666666666665	0.7734969258308411
attack	4.0	0.8886773586273193
attack	3.5	0.8780200481414795
attack	3.0	0.8164994120597839
attack	2.3333333333333335	0.7815398573875427
attack	3.0	0.8547587394714355
attack	3.5	0.583831250667572
attack	3.6666666666666665	0.8700803518295288
attack	4.0	0.893113374710083
attack	2.0	0.5641425848007202
attack	3.5	0.9047846794128418
attack	2.6666666666666665	0.49581632018089294
attack	2.6666666666666665	0.6643662452697754
attack	4.0	0.9277546405792236
attack	1.5	0.626017689704895
attack	2.6666666666666665	0.4329928159713745
attack	3.6666666666666665	0.8951458930969238
attack	2.5	0.5201300978660583
attack	3.0	0.7812281847000122
attack	3.5	0.6873738169670105
attack	2.0	0.3560379445552826
attack	3.0	0.8756008148193359
attack	2.0	0.3806406259536743
attack	2.6666666666666665	0.917709231376648
attack	3.5	0.45898258686065674
attack	3.5	0.9082080721855164
attack	3.0	0.5051301717758179
attack	3.0	0.3093736469745636
attack	3.0	0.6276247501373291
attack	2.0	0.5709908604621887
attack	1.0	0.697028398513794
attack	4.0	0.9773041009902954
attack	2.0	0.2921124994754791
attack	3.3333333333333335	0.8855923414230347
attack	2.5	0.4451795816421509
attack	4.0	0.7137569189071655
attack	2.0	0.3972803056240082
attack	2.5	0.2974749207496643
attack	2.0	0.27046138048171997
attack	2.0	0.2856764495372772
attack	2.5	0.2785235047340393
attack	2.0	0.3137660026550293
attack	2.5	0.8947152495384216
attack	2.5	0.290571928024292
attack	3.4	0.282501757144928
attack	2.0	0.33095625042915344
attack	3.0	0.32994505763053894
attack	2.5	0.48824557662010193
attack	3.5	0.9253814220428467
attack	4.0	0.5054344534873962
attack	3.0	0.6334390044212341
attack	3.6666666666666665	0.9562671184539795
attack	3.0	0.9099420309066772
attack	2.0	0.7835206985473633
attack	4.0	0.9147247076034546
attack	3.6666666666666665	0.9559775590896606
attack	2.0	0.623698353767395
attack	3.0	0.7325878143310547
