	identifier1	identifier2	lemma	dataset	annotator2	annotator5	annotator4	annotator0	annotator1	annotator3	annotator6	annotator8	annotator9	annotator7	median_label	non_nan_count
0	2532889X_1947-04-18_01_029.tcf.xml-13-1	26120215_1951_07_14_01_162.tcf.xml-27-5	abgebrüht	dwug_de				3.0	4.0	4.0					4.0	3
3	2532889X_1947-04-18_01_029.tcf.xml-13-1	davidis_kochbuch_1849-2034-12	abgebrüht	dwug_de					1.0	2.0					1.5	2
4	2532889X_1947-04-18_01_029.tcf.xml-13-1	davidis_kochbuch_1879-3332-4	abgebrüht	dwug_de				1.0		2.0					1.5	2
24	2532889X_1947-07-06_01_083.tcf.xml-23-39	26120215_1963_02_10_01_145.tcf.xml-31-23	abgebrüht	dwug_de	2.0		1.0		3.0	2.0	2.0				2.0	5
25	2532889X_1947-07-06_01_083.tcf.xml-23-39	26120215_1977_04_09_01_064.tcf.xml-25-31	abgebrüht	dwug_de	4.0				4.0	4.0					4.0	3
26	2532889X_1947-07-06_01_083.tcf.xml-23-39	brehm_thierleben06_1869-15516-1	abgebrüht	dwug_de	2.0				1.0						1.5	2
27	2532889X_1947-07-13_02_047.tcf.xml-10-21	26120215_1963_02_10_01_145.tcf.xml-31-23	abgebrüht	dwug_de	2.0		1.0	4.0	2.0	2.0	2.0				2.0	6
32	2532889X_1947-10-04_01_046.tcf.xml-35-9	davidis_kochbuch_1849-2034-12	abgebrüht	dwug_de	2.0			1.0							1.5	2
37	2532889X_1948-05-06_01_089.tcf.xml-53-11	davidis_kochbuch_1849-2034-12	abgebrüht	dwug_de				1.0	1.0						1.0	2
39	2532889X_1948-12-23_01_078.tcf.xml-2-92	2532889X_1960-06-24_01_050.tcf.xml-54-5	abgebrüht	dwug_de		3.0	4.0								3.5	2
44	2532889X_1948-12-23_01_078.tcf.xml-2-92	26120215_1963_02_10_01_145.tcf.xml-31-23	abgebrüht	dwug_de	2.0	2.0			3.0	2.0					2.0	4
45	2532889X_1948-12-23_01_078.tcf.xml-2-92	26120215_1971_11_02_01_173.tcf.xml-30-9	abgebrüht	dwug_de	4.0			4.0		4.0					4.0	3
50	2532889X_1949-02-24_01_063.tcf.xml-21-11	davidis_kochbuch_1849-4797-34	abgebrüht	dwug_de				1.0		2.0					1.5	2
73	2532889X_1951-06-24_01_118.tcf.xml-11-23	26120215_1963_02_10_01_145.tcf.xml-31-23	abgebrüht	dwug_de	2.0		1.0		3.0		2.0				2.0	4
74	2532889X_1951-06-24_01_118.tcf.xml-11-23	26120215_1966_05_25_01_169.tcf.xml-16-4	abgebrüht	dwug_de	4.0				4.0	4.0					4.0	3
78	2532889X_1952-11-23_01_046.tcf.xml-15-17	2532889X_1963-03-21_01_008.tcf.xml-8-12	abgebrüht	dwug_de					4.0	4.0					4.0	2
79	2532889X_1952-11-23_01_046.tcf.xml-15-17	2532889X_1965-06-16_01_189.tcf.xml-9-11	abgebrüht	dwug_de				4.0	4.0	4.0					4.0	3
80	2532889X_1952-11-23_01_046.tcf.xml-15-17	26120215_1956_05_16_01_186.tcf.xml-64-5	abgebrüht	dwug_de				4.0		4.0					4.0	2
81	2532889X_1952-11-23_01_046.tcf.xml-15-17	26120215_1958_12_24_01_169.tcf.xml-28-12	abgebrüht	dwug_de	4.0			3.0	4.0						4.0	3
82	2532889X_1952-11-23_01_046.tcf.xml-15-17	26120215_1959_09_03_01_190.tcf.xml-12-7	abgebrüht	dwug_de				3.0	4.0						3.5	2
84	2532889X_1952-11-23_01_046.tcf.xml-15-17	26120215_1962_06_09_01_398.tcf.xml-98-13	abgebrüht	dwug_de				3.0	4.0	4.0					4.0	3
85	2532889X_1952-11-23_01_046.tcf.xml-15-17	26120215_1965_02_07_01_482.tcf.xml-57-7	abgebrüht	dwug_de	4.0			4.0							4.0	2
87	2532889X_1952-11-23_01_046.tcf.xml-15-17	26120215_1966_11_11_01_073.tcf.xml-81-3	abgebrüht	dwug_de				4.0		4.0					4.0	2
89	2532889X_1952-11-23_01_046.tcf.xml-15-17	26120215_1977_08_16_01_150.tcf.xml-28-11	abgebrüht	dwug_de	2.0			1.0	1.0	2.0					1.5	4
92	2532889X_1952-11-23_01_046.tcf.xml-15-17	davidis_kochbuch_1879-3332-4	abgebrüht	dwug_de	2.0				1.0	2.0					2.0	3
94	2532889X_1952-11-23_01_046.tcf.xml-15-17	davidis_kochbuch_1879-3696-8	abgebrüht	dwug_de				1.0	1.0	1.0					1.0	3
95	2532889X_1952-11-23_01_046.tcf.xml-15-17	davidis_kochbuch_1879-3789-9	abgebrüht	dwug_de				1.0	1.0						1.0	2
96	2532889X_1952-11-23_01_046.tcf.xml-15-17	davidis_kochbuch_1879-902-7	abgebrüht	dwug_de	2.0					2.0					2.0	2
113	2532889X_1953-08-15_01_095.tcf.xml-101-3	brehm_thierleben06_1869-15516-1	abgebrüht	dwug_de				1.0	1.0	2.0					1.0	3
116	2532889X_1954-06-06_01_019.tcf.xml-3-20	brehm_thierleben06_1869-15516-1	abgebrüht	dwug_de				1.0	1.0						1.0	2
118	2532889X_1954-06-06_01_019.tcf.xml-3-20	davidis_kochbuch_1879-5545-9	abgebrüht	dwug_de	2.0			1.0		2.0					2.0	3
119	2532889X_1954-06-06_01_019.tcf.xml-3-20	silberer_traber_1883-605-60	abgebrüht	dwug_de	2.0			1.0		2.0					2.0	3
129	2532889X_1955-12-25_01_118.tcf.xml-118-18	davidis_kochbuch_1849-2034-12	abgebrüht	dwug_de				1.0	1.0						1.0	2
131	2532889X_1956-02-05_01_105.tcf.xml-67-9	2532889X_1963-12-14_01_038.tcf.xml-22-3	abgebrüht	dwug_de				4.0		4.0					4.0	2
132	2532889X_1956-02-05_01_105.tcf.xml-67-9	davidis_kochbuch_1849-2062-61	abgebrüht	dwug_de				1.0	1.0						1.0	2
134	2532889X_1956-02-18_01_107.tcf.xml-10-5	2532889X_1963-03-21_01_008.tcf.xml-8-12	abgebrüht	dwug_de					4.0	4.0					4.0	2
135	2532889X_1956-02-18_01_107.tcf.xml-10-5	26120215_1972_05_07_01_184.tcf.xml-27-21	abgebrüht	dwug_de			4.0				4.0				4.0	2
136	2532889X_1956-02-18_01_107.tcf.xml-10-5	davidis_kochbuch_1849-2034-12	abgebrüht	dwug_de				1.0		2.0					1.5	2
138	2532889X_1956-06-24_01_051.tcf.xml-2-21	2532889X_1957-02-17_01_113.tcf.xml-35-17	abgebrüht	dwug_de				1.0	1.0	2.0					1.0	3
142	2532889X_1956-06-24_01_161.tcf.xml-4-14	26120215_1963_02_10_01_145.tcf.xml-31-23	abgebrüht	dwug_de		2.0			3.0	4.0	4.0				3.5	4
143	2532889X_1956-06-24_01_161.tcf.xml-4-14	davidis_kochbuch_1849-2062-61	abgebrüht	dwug_de				4.0	4.0						4.0	2
144	2532889X_1956-11-11_01_073.tcf.xml-9-11	2532889X_1957-02-17_01_113.tcf.xml-35-17	abgebrüht	dwug_de					1.0	2.0					1.5	2
150	2532889X_1956-12-01_01_149.tcf.xml-5-71	davidis_kochbuch_1849-2062-61	abgebrüht	dwug_de	2.0			1.0							1.5	2
151	2532889X_1957-02-17_01_113.tcf.xml-35-17	2532889X_1959-04-28_01_013.tcf.xml-1-26	abgebrüht	dwug_de				1.0		2.0					1.5	2
152	2532889X_1957-02-17_01_113.tcf.xml-35-17	2532889X_1960-06-24_01_050.tcf.xml-54-5	abgebrüht	dwug_de				1.0	1.0						1.0	2
155	2532889X_1957-02-17_01_113.tcf.xml-35-17	26120215_1950_04_07_01_018.tcf.xml-3-23	abgebrüht	dwug_de	2.0					2.0					2.0	2
156	2532889X_1957-02-17_01_113.tcf.xml-35-17	26120215_1951_11_24_01_007.tcf.xml-16-13	abgebrüht	dwug_de				1.0		2.0					1.5	2
157	2532889X_1957-02-17_01_113.tcf.xml-35-17	26120215_1953_06_10_01_018.tcf.xml-131-19	abgebrüht	dwug_de	2.0					2.0					2.0	2
162	2532889X_1957-02-17_01_113.tcf.xml-35-17	26120215_1962_06_09_01_398.tcf.xml-98-13	abgebrüht	dwug_de				1.0		2.0					1.5	2
163	2532889X_1957-02-17_01_113.tcf.xml-35-17	26120215_1963_02_10_01_145.tcf.xml-31-23	abgebrüht	dwug_de				1.0		2.0					1.5	2
164	2532889X_1957-02-17_01_113.tcf.xml-35-17	26120215_1972_12_10_01_152.tcf.xml-7-22	abgebrüht	dwug_de	2.0			1.0							1.5	2
165	2532889X_1957-02-17_01_113.tcf.xml-35-17	26120215_1975_02_01_01_413.tcf.xml-54-22	abgebrüht	dwug_de				1.0		2.0					1.5	2
