lemma	identifier1	identifier2	context1	context2	indexes_target_token1	indexes_target_token2	judgment	count_droppped_judments	count_all_judgments
part	fic_1822_8736.txt-1033-9	fic_1849_5168.txt-3794-11	A. Arthur I shall be ready to do my part.	Frank took the Doctor to his home, resolved never to part with so faithful and gallant a friend, whose faults had been the faults of unfortunate circumstances, but whose heart, he felt assured, was ' in the right place. '	36:40	53:57	1.0
part	fic_1822_8736.txt-1033-9	fic_1851_3300.txt-350-3	A. Arthur I shall be ready to do my part.	his brother's part, and some that of Ferrers, while, in the dark, friend struggled and quarrelled with friend as much as foe, no one attempting to quell the tumult, until the door was suddenly burst open, and Hamilton with Trevannion and two or three from the school-room entered.	36:40	14:18	4.0
part	fic_1822_8736.txt-1033-9	fic_1966_10474.txt-9144-22	A. Arthur I shall be ready to do my part.	Port Smith was rife with citizens ' committees, study groups, and action teams composed of people who had not taken part in civic affairs before.	36:40	116:120	3.0
part	fic_1822_8736.txt-1033-9	mag_1816_552728.txt-39-6	A. Arthur I shall be ready to do my part.	The wood west, is the part where General Porter cut a road and marched his troops to at * tack British battery No.	36:40	22:26	1.0
part	fic_1822_8736.txt-1033-9	mag_1975_285668.txt-17-27	A. Arthur I shall be ready to do my part.	The bacteria not only detoxify the fish wastes but convert the ammonia in them to nitrites and nitrates, which are used to fertilize algae in another part of the pond.	36:40	150:154	1.0
part	fic_1822_8736.txt-1033-9	nf_1969_774314.txt-1448-7	A. Arthur I shall be ready to do my part.	Before then, after tobacco had become part of everyday custom in every part of the Western world, pipe tongs graced many a fashionable hearth and were considered utensils; but because they held a prominent position in the sitting room, they were usually finely made and nicely decorated, giving them a position midway between utensils and decorative ironwork.	36:40	38:42	2.0
part	fic_1824_7285.txt-1117-21	fic_1847_7152.txt-704-37	It is here subjoined, as a specimen of the grave song, admired at that period among the better educated part of the community.	Go on your way, and fear nothing; for I will follow after, and see you safely to the wicket; and I think, while I am near, no three men in these parts will dare to harm you.	104:108	145:150	2.0
part	fic_1824_7285.txt-1117-21	mag_1994_393664.txt-1-13	It is here subjoined, as a specimen of the grave song, admired at that period among the better educated part of the community.	She also glued on " dingly balls " (cotton swabs) as part of the design -- and for the cat to play with.	104:108	53:57	4.0
part	fic_1827_9756.txt-4065-10	nf_1857_755095.txt-581-3	I dwell, with self-condemnation and shame, upon this part of my story.	errand to those parts, and his surprise at meeting with English traders in a country to which England had no pretensions; intimating that, in future, any intruders of the kind would be rigorously dealt with.	53:57	16:21	1.0
part	fic_1827_9756.txt-4065-10	nf_1969_774314.txt-1448-7	I dwell, with self-condemnation and shame, upon this part of my story.	Before then, after tobacco had become part of everyday custom in every part of the Western world, pipe tongs graced many a fashionable hearth and were considered utensils; but because they held a prominent position in the sitting room, they were usually finely made and nicely decorated, giving them a position midway between utensils and decorative ironwork.	53:57	38:42	4.0
part	fic_1832_7177.txt-509-4	fic_1849_5168.txt-3794-11	The folks in these parts have their own notions of the matter; but they don't like to speak freely on the subject.	Frank took the Doctor to his home, resolved never to part with so faithful and gallant a friend, whose faults had been the faults of unfortunate circumstances, but whose heart, he felt assured, was ' in the right place. '	19:24	53:57	1.0
part	fic_1832_7177.txt-509-4	mag_1848_524975.txt-590-21	The folks in these parts have their own notions of the matter; but they don't like to speak freely on the subject.	Man and woman are so completely different in their whole organization that, as it has been remarked, no single part of the one could he properly substituted for the corresponding part of the other.	19:24	111:115	2.0
part	fic_1832_7177.txt-509-4	mag_1983_323609.txt-21-4	The folks in these parts have their own notions of the matter; but they don't like to speak freely on the subject.	The young Peer of Part I (rather monotonously played by Greg	19:24	18:22	2.0
part	fic_1832_7177.txt-509-4	news_1997_621089.txt-202-25	The folks in these parts have their own notions of the matter; but they don't like to speak freely on the subject.	He deals with the parts of the uni verse and the whole of the universe, and he theorizes that things that look like separate parts of the universe emerge out of a pool, which he calls the common pool of information.	19:24	125:130	2.0
part	fic_1832_7177.txt-509-4	nf_1824_747685.txt-354-2	The folks in these parts have their own notions of the matter; but they don't like to speak freely on the subject.	The western parts of Hellas, rough Etolia, and woody Acarnania, are indeed among the largest districts, but are so inferior to the rest	19:24	12:17	4.0
part	fic_1832_7177.txt-509-4	nf_1839_747920.txt-1901-86	The folks in these parts have their own notions of the matter; but they don't like to speak freely on the subject.	He understands it therefore to be his duty, as a member of the Committee of Com missions, and especially in view of the rules adopted this morning, on the motion of Dr. Alexander, (and he will act on that understanding, unless otherwise expressly directed by the Assembly,) to enrol only such commissioners to the next Assembly as shall come from Presbyteries, now, or at the close of this Assembly, recognised to be component and integral parts of the Presbyterian Church; and that, to the Assembly so constituted, when duly organized for the transaction of business, it will be his duty to report the names of persons claiming to be commissioners from Presbyteries that may be	19:24	440:445	2.0
part	fic_1832_7177.txt-509-4	nf_1843_747650.txt-263-23	The folks in these parts have their own notions of the matter; but they don't like to speak freely on the subject.	They owed, indeed, allegiance to the British king, as the head of each colonial government, and as forming a part /z/ thereof; but this allegiance was exclusive, in each colony, to its own government, and, consequently, to the king as the head thereof, and was not a common allegiance of the people of all the colonies to a common head.	19:24	109:113	2.0
part	fic_1832_7177.txt-509-4	nf_1857_755095.txt-581-3	The folks in these parts have their own notions of the matter; but they don't like to speak freely on the subject.	errand to those parts, and his surprise at meeting with English traders in a country to which England had no pretensions; intimating that, in future, any intruders of the kind would be rigorously dealt with.	19:24	16:21	4.0
