	identifier1	identifier2	lemma	dataset	annotator2	annotator5	annotator4	annotator0	annotator1	annotator3	annotator6	annotator8	annotator9	annotator7	median_label	non_nan_count
36	2532889X_1953-02-10_01_044.tcf.xml-10-21	26120215_1948_03_05_01_025.tcf.xml-8-27	abdecken	dwug_de					4.0	4.0					4.0	2
37	2532889X_1953-02-10_01_044.tcf.xml-10-21	26120215_1967_07_24_01_017.tcf.xml-11-13	abdecken	dwug_de		1.0			1.0						1.0	2
39	2532889X_1953-02-10_01_044.tcf.xml-10-21	26120215_1976_01_10_01_404.tcf.xml-4-28	abdecken	dwug_de	4.0				4.0						4.0	2
46	2532889X_1953-07-05_01_047.tcf.xml-62-16	2532889X_1982-04-28_01_050.tcf.xml-8-40	abdecken	dwug_de		4.0		4.0							4.0	2
47	2532889X_1953-07-05_01_047.tcf.xml-62-16	26120215_1978_03_18_01_155.tcf.xml-9-13	abdecken	dwug_de					4.0	4.0					4.0	2
49	2532889X_1953-07-05_01_047.tcf.xml-62-16	wanderley_bauconstructionslehre02_1878-4577-74	abdecken	dwug_de				2.0	2.0	2.0					2.0	3
51	2532889X_1955-01-08_01_051.tcf.xml-8-26	2532889X_1986-03-08_01_151.tcf.xml-14-10	abdecken	dwug_de				3.0		4.0					3.5	2
55	2532889X_1955-01-08_01_051.tcf.xml-8-26	ledebur_eisenhuettenkunde_1884-5694-22	abdecken	dwug_de	4.0			2.0	3.0	4.0					3.5	4
57	2532889X_1957-06-27_01_106.tcf.xml-40-20	26120215_1966_08_24_01_105.tcf.xml-13-10	abdecken	dwug_de	2.0			2.0		2.0					2.0	3
58	2532889X_1957-06-27_01_106.tcf.xml-40-20	26120215_1978_03_18_01_155.tcf.xml-9-13	abdecken	dwug_de	4.0					3.0					3.5	2
60	2532889X_1957-06-27_01_106.tcf.xml-40-20	26120215_1990_05_03_01_342.tcf.xml-390-28	abdecken	dwug_de	4.0				4.0						4.0	2
105	2532889X_1962-01-24_01_024.tcf.xml-27-17	2532889X_1986-03-08_01_151.tcf.xml-14-10	abdecken	dwug_de				1.0	1.0						1.0	2
108	2532889X_1962-01-24_01_024.tcf.xml-27-17	26120215_1978_03_18_01_155.tcf.xml-9-13	abdecken	dwug_de	2.0			1.0							1.5	2
112	2532889X_1962-01-24_01_024.tcf.xml-27-17	goethe_leben01_1811-2459-6	abdecken	dwug_de				4.0		4.0					4.0	2
119	2532889X_1962-01-24_01_024.tcf.xml-27-17	wanderley_bauconstructionslehre02_1878-4577-74	abdecken	dwug_de	2.0					1.0					1.5	2
137	2532889X_1963-05-11_01_043.tcf.xml-39-20	2532889X_1971-12-31_01_016.tcf.xml-9-26	abdecken	dwug_de			2.0	4.0							3.0	2
138	2532889X_1963-05-11_01_043.tcf.xml-39-20	2532889X_1983-05-14_01_107.tcf.xml-29-16	abdecken	dwug_de		3.0			4.0	3.0	3.0				3.0	4
140	2532889X_1963-05-11_01_043.tcf.xml-39-20	2532889X_1990-10-03_01_102.tcf.xml-3-8	abdecken	dwug_de				4.0	3.0	4.0					4.0	3
141	2532889X_1963-05-11_01_043.tcf.xml-39-20	26120215_1972_04_12_01_301.tcf.xml-3-19	abdecken	dwug_de		4.0				4.0					4.0	2
142	2532889X_1963-05-11_01_043.tcf.xml-39-20	ledebur_eisenhuettenkunde_1884-5694-22	abdecken	dwug_de					2.0	2.0					2.0	2
143	2532889X_1963-11-29_01_049.tcf.xml-63-83	2532889X_1966-02-13_01_235.tcf.xml-6-18	abdecken	dwug_de	2.0			2.0	2.0	2.0	3.0				2.0	5
144	2532889X_1963-11-29_01_049.tcf.xml-63-83	2532889X_1983-05-14_01_107.tcf.xml-29-16	abdecken	dwug_de	4.0			4.0	4.0						4.0	3
148	2532889X_1963-11-29_01_049.tcf.xml-63-83	ledebur_eisenhuettenkunde_1884-5694-22	abdecken	dwug_de	2.0	2.0			2.0	2.0					2.0	4
153	2532889X_1964-02-06_01_039.tcf.xml-113-15	2532889X_1983-05-14_01_107.tcf.xml-29-16	abdecken	dwug_de	4.0			2.0		4.0					4.0	3
157	2532889X_1964-02-06_01_039.tcf.xml-113-15	ledebur_eisenhuettenkunde_1884-5694-22	abdecken	dwug_de	2.0		1.0	2.0		2.0					2.0	4
158	2532889X_1964-02-06_01_039.tcf.xml-113-15	munzinger_japaner_1898-448-4	abdecken	dwug_de					1.0	1.0					1.0	2
159	2532889X_1964-02-06_01_039.tcf.xml-113-15	polenz_buettnerbauer_1895-6066-22	abdecken	dwug_de	3.0	2.0		4.0	2.0	2.0	4.0			2.0	2.0	7
169	2532889X_1965-11-13_01_042.tcf.xml-46-32	2532889X_1990-05-16_01_087.tcf.xml-235-35	abdecken	dwug_de			4.0		4.0	3.0					4.0	3
170	2532889X_1965-11-13_01_042.tcf.xml-46-32	26120215_1966_08_24_01_105.tcf.xml-13-10	abdecken	dwug_de			1.0		2.0	2.0	2.0				2.0	4
173	2532889X_1966-02-13_01_235.tcf.xml-6-18	2532889X_1977-11-23_01_174.tcf.xml-33-47	abdecken	dwug_de				2.0	2.0						2.0	2
174	2532889X_1966-02-13_01_235.tcf.xml-6-18	2532889X_1984-03-07_01_115.tcf.xml-22-26	abdecken	dwug_de	3.0			2.0	2.0	2.0	2.0				2.0	5
175	2532889X_1966-02-13_01_235.tcf.xml-6-18	2532889X_1990-08-09_01_135.tcf.xml-199-36	abdecken	dwug_de	2.0				2.0						2.0	2
176	2532889X_1966-02-13_01_235.tcf.xml-6-18	26120215_1948_10_07_01_023.tcf.xml-7-19	abdecken	dwug_de	2.0				2.0						2.0	2
180	2532889X_1966-02-13_01_235.tcf.xml-6-18	26120215_1967_01_05_01_196.tcf.xml-22-17	abdecken	dwug_de				4.0		4.0					4.0	2
181	2532889X_1966-02-13_01_235.tcf.xml-6-18	26120215_1976_01_10_01_404.tcf.xml-4-28	abdecken	dwug_de		2.0	1.0			3.0					2.0	3
182	2532889X_1966-02-13_01_235.tcf.xml-6-18	26120215_1977_02_12_01_275.tcf.xml-13-8	abdecken	dwug_de				3.0	4.0	4.0					4.0	3
183	2532889X_1966-02-13_01_235.tcf.xml-6-18	26120215_1977_07_21_01_018.tcf.xml-29-26	abdecken	dwug_de	2.0				2.0						2.0	2
185	2532889X_1966-02-13_01_235.tcf.xml-6-18	26120215_1987_11_19_01_144.tcf.xml-14-13	abdecken	dwug_de	4.0			4.0							4.0	2
186	2532889X_1966-02-13_01_235.tcf.xml-6-18	goethe_leben01_1811-2459-6	abdecken	dwug_de				1.0		1.0					1.0	2
188	2532889X_1966-02-13_01_235.tcf.xml-6-18	ledebur_eisenhuettenkunde_1884-1403-11	abdecken	dwug_de	4.0			3.0	4.0	4.0					4.0	4
191	2532889X_1966-02-13_01_235.tcf.xml-6-18	wanderley_bauconstructionslehre01_1877-3217-23	abdecken	dwug_de					4.0	4.0					4.0	2
201	2532889X_1967-08-09_01_025.tcf.xml-9-30	26120215_1978_03_18_01_155.tcf.xml-9-13	abdecken	dwug_de	3.0					3.0					3.0	2
202	2532889X_1967-08-09_01_025.tcf.xml-9-30	26120215_1990_05_03_01_342.tcf.xml-390-28	abdecken	dwug_de	4.0			4.0	3.0						4.0	3
203	2532889X_1967-08-09_01_025.tcf.xml-9-30	ledebur_eisenhuettenkunde_1884-5694-22	abdecken	dwug_de	2.0			2.0		2.0					2.0	3
204	2532889X_1967-08-11_01_126.tcf.xml-17-29	2532889X_1983-05-14_01_107.tcf.xml-29-16	abdecken	dwug_de		3.0		3.0	2.0	2.0	3.0				3.0	5
209	2532889X_1967-09-06_01_168.tcf.xml-11-39	2532889X_1983-05-14_01_107.tcf.xml-29-16	abdecken	dwug_de				4.0	4.0						4.0	2
210	2532889X_1967-09-06_01_168.tcf.xml-11-39	26120215_1976_01_10_01_404.tcf.xml-4-28	abdecken	dwug_de			4.0	3.0	4.0	3.0	4.0				4.0	5
211	2532889X_1967-09-06_01_168.tcf.xml-11-39	26120215_1977_12_24_01_142.tcf.xml-27-41	abdecken	dwug_de		2.0				2.0					2.0	2
213	2532889X_1967-09-06_01_168.tcf.xml-11-39	ledebur_eisenhuettenkunde_1884-5694-22	abdecken	dwug_de	2.0				2.0	2.0	2.0				2.0	4
215	2532889X_1967-11-18_01_301.tcf.xml-5-9	2532889X_1983-05-14_01_107.tcf.xml-29-16	abdecken	dwug_de	2.0		1.0	2.0	2.0	2.0					2.0	5
216	2532889X_1967-11-18_01_301.tcf.xml-5-9	26120215_1951_03_06_01_203.tcf.xml-16-13	abdecken	dwug_de					2.0	2.0					2.0	2
228	2532889X_1968-09-17_01_189.tcf.xml-60-35	2532889X_1984-03-07_01_115.tcf.xml-22-26	abdecken	dwug_de	3.0				4.0	4.0					4.0	3
230	2532889X_1968-09-17_01_189.tcf.xml-60-35	26120215_1966_08_24_01_105.tcf.xml-13-10	abdecken	dwug_de					2.0	2.0	2.0				2.0	3
231	2532889X_1969-01-05_01_148.tcf.xml-10-22	26120215_1966_08_24_01_105.tcf.xml-13-10	abdecken	dwug_de	2.0				2.0						2.0	2
234	2532889X_1969-01-05_01_148.tcf.xml-10-22	menzel_maurer_1847-4283-17	abdecken	dwug_de		2.0					2.0				2.0	2
235	2532889X_1969-01-05_01_148.tcf.xml-10-22	menzel_maurer_1847-4284-5	abdecken	dwug_de		2.0			2.0						2.0	2
236	2532889X_1969-01-05_01_148.tcf.xml-10-22	polenz_buettnerbauer_1895-6066-22	abdecken	dwug_de	2.0				2.0						2.0	2
250	2532889X_1970-03-28_01_281.tcf.xml-19-10	ledebur_eisenhuettenkunde_1884-5694-22	abdecken	dwug_de					4.0	3.0					3.5	2
251	2532889X_1970-05-01_01_201.tcf.xml-20-25	2532889X_1983-05-14_01_107.tcf.xml-29-16	abdecken	dwug_de	4.0					4.0					4.0	2
252	2532889X_1970-05-01_01_201.tcf.xml-20-25	2532889X_1984-03-07_01_115.tcf.xml-22-26	abdecken	dwug_de	4.0					4.0					4.0	2
253	2532889X_1970-05-01_01_201.tcf.xml-20-25	wanderley_bauconstructionslehre02_1878-4577-74	abdecken	dwug_de			1.0		2.0	3.0					2.0	3
325	2532889X_1971-12-31_01_016.tcf.xml-9-26	2532889X_1977-07-23_01_321.tcf.xml-3-11	abdecken	dwug_de		1.0		1.0							1.0	2
329	2532889X_1971-12-31_01_016.tcf.xml-9-26	26120215_1967_08_12_01_019.tcf.xml-5-30	abdecken	dwug_de		2.0			4.0	4.0					4.0	3
331	2532889X_1971-12-31_01_016.tcf.xml-9-26	26120215_1973_03_06_01_146.tcf.xml-54-10	abdecken	dwug_de					3.0	3.0					3.0	2
332	2532889X_1971-12-31_01_016.tcf.xml-9-26	26120215_1978_03_18_01_155.tcf.xml-9-13	abdecken	dwug_de			3.0	2.0		3.0					3.0	3
336	2532889X_1971-12-31_01_016.tcf.xml-9-26	dickens_weihnachtsabend_1844-903-11	abdecken	dwug_de		1.0	1.0								1.0	2
339	2532889X_1971-12-31_01_016.tcf.xml-9-26	ledebur_eisenhuettenkunde_1884-5694-22	abdecken	dwug_de					2.0	2.0					2.0	2
340	2532889X_1971-12-31_01_016.tcf.xml-9-26	menzel_maurer_1847-5350-32	abdecken	dwug_de			1.0		1.0		1.0				1.0	3
343	2532889X_1971-12-31_01_016.tcf.xml-9-26	silberer_traber_1883-600-30	abdecken	dwug_de					2.0		2.0				2.0	2
370	2532889X_1974-06-08_01_216.tcf.xml-15-20	26120215_1966_08_24_01_105.tcf.xml-13-10	abdecken	dwug_de				4.0	4.0						4.0	2
371	2532889X_1974-06-08_01_216.tcf.xml-15-20	26120215_1978_03_18_01_155.tcf.xml-9-13	abdecken	dwug_de				2.0		2.0					2.0	2
374	2532889X_1974-07-30_01_113.tcf.xml-14-25	26120215_1966_08_24_01_105.tcf.xml-13-10	abdecken	dwug_de	2.0			2.0							2.0	2
375	2532889X_1974-07-30_01_113.tcf.xml-14-25	26120215_1978_03_18_01_155.tcf.xml-9-13	abdecken	dwug_de	4.0			4.0		4.0					4.0	3
376	2532889X_1974-07-30_01_113.tcf.xml-14-25	26120215_1990_05_03_01_342.tcf.xml-390-28	abdecken	dwug_de				4.0	4.0						4.0	2
394	2532889X_1975-05-03_01_099.tcf.xml-5-20	2532889X_1980-12-03_01_045.tcf.xml-3-41	abdecken	dwug_de		1.0					1.0				1.0	2
395	2532889X_1975-05-03_01_099.tcf.xml-5-20	2532889X_1983-05-14_01_107.tcf.xml-29-16	abdecken	dwug_de				1.0		1.0					1.0	2
397	2532889X_1975-05-03_01_099.tcf.xml-5-20	26120215_1977_07_21_01_018.tcf.xml-29-26	abdecken	dwug_de			1.0		1.0						1.0	2
404	2532889X_1975-05-03_01_099.tcf.xml-5-20	ledebur_eisenhuettenkunde_1884-1403-11	abdecken	dwug_de	2.0			1.0		1.0					1.0	3
405	2532889X_1975-05-03_01_099.tcf.xml-5-20	menzel_maurer_1847-4283-17	abdecken	dwug_de				1.0		1.0					1.0	2
409	2532889X_1975-05-03_01_099.tcf.xml-5-20	wanderley_bauconstructionslehre02_1878-4577-74	abdecken	dwug_de	2.0				1.0	1.0					1.0	3
412	2532889X_1975-07-26_01_404.tcf.xml-30-16	polenz_buettnerbauer_1895-6066-22	abdecken	dwug_de	4.0			4.0	4.0						4.0	3
413	2532889X_1975-07-26_01_404.tcf.xml-30-16	wanderley_bauconstructionslehre02_1878-4577-74	abdecken	dwug_de				3.0			4.0				3.5	2
414	2532889X_1975-10-25_01_181.tcf.xml-9-26	2532889X_1983-05-14_01_107.tcf.xml-29-16	abdecken	dwug_de	2.0				2.0		2.0				2.0	3
415	2532889X_1975-10-25_01_181.tcf.xml-9-26	2532889X_1986-03-08_01_151.tcf.xml-14-10	abdecken	dwug_de	4.0				4.0						4.0	2
417	2532889X_1975-10-25_01_181.tcf.xml-9-26	wanderley_bauconstructionslehre02_1878-4577-74	abdecken	dwug_de				4.0	4.0						4.0	2
424	2532889X_1976-12-10_01_056.tcf.xml-141-28	2532889X_1983-05-14_01_107.tcf.xml-29-16	abdecken	dwug_de				4.0		4.0					4.0	2
425	2532889X_1976-12-10_01_056.tcf.xml-141-28	2532889X_1984-03-07_01_115.tcf.xml-22-26	abdecken	dwug_de	4.0			4.0	3.0						4.0	3
