lemma	identifier1	identifier2	context1	context2	indexes_target_token1	derived_indexes1	indexes_target_token2	derived_indexes2	judgment	cosine_similarity
afternoon	fic_1831_7210.txt-510-4	fic_1846_7036.txt-2381-16	He    had    passed    the    afternoon    in    his    favourite    recreation,    that    of    fowling    in    the    woods,    and    was    returning    home    with    about    twenty    wild    pigeons,    as    the    trophies    of    his    success,    when,    late    in    the    evening,    in    the    vicinity    of    his    mother's    residence,    he    overheard    some    voices    in    a    thick    wood    through    which    he    was    passing.	By    some    accident,    Big    Elk    became    separated    from    his    hunting    companions,    late    in    the    afternoon    of    a    winter's    day.	18:27	[18,    27]	84:93	[84,    93]	4.0	0.9536935687065125
afternoon	mag_1850_565942.txt-396-5	fic_1858_9768.txt-412-5	   "rrhe    next    day    in    the    afternoon,       "   "    he    exercised,       "   "    as    Gov.   "	About    four    o'clock    in    the    afternoon,    after    refreshment    at    the    hospitable    Mr.    Oldhame's,    they    started    to    go    home;    and    as    they    trode,    again,    the    same    road    through    the    woods,    toward    the    wide,    weary    Barrens,    the    way    seemed    wearier    than    before.	21:30	[22,    31]	26:35	[26,    35]	4.0	0.9142478704452515
afternoon	mag_1854_555969.txt-139-11	fic_1971_14051.txt-667-2	Shortly    after,    an    officer    looked    into    his    cell    one    Sunday    afternoon,    and    found    him    lying    on    his    bed,    which    he    had    unrolled    contrary    to    orders,    reading    his    Bible.	On    those    afternoons    by    the    sea,    we    knitted,    Sheila    and    I,    and    talked    about    poetry    and    children.	58:67	[58,    67]	9:19	[9,    18]	4.0	0.9398276805877686
afternoon	fic_1977_780102.txt-1079-6	fic_1992_40272.txt-627-18	Ari    arrived    at    Kibbutz    Revivim    Tuesday    afternoon,    at    the    peak    of    the    sun's    arc    across	Old    shopping    lists    and    ticket    stubs    and    wads    of    listed    newsprint    come    falling    around    Pafko    in    the    faded    afternoon.	39:48	[39,    48]	104:113	[104,    113]	3.0	0.9384722113609314
afternoon	fic_1848_7193.txt-3809-25	fic_1852_9832.txt-757-5	   "Behold    --       "   "    said    a    Reverend    man,    one    Sabbath-day,    as    he    surveyed    the    thousand    faces,    mellowed    by    the    mild    beams    of    an    afternoon    sun    --       "   "    Behold    the    sands    that    stretch    beside    the    waves    of    the    Ocean.   "	   "We    were    out    walking    one    afternoon,    and    the    two    boys    had    been    excursionizing    to    their    heart's    content,    when    Archie    came    up    with,       "   "    O    Miss    Kate!   "	118:127	[120,    129]	24:33	[25,    34]	3.0	0.9390697479248047
afternoon	fic_1976_23909.txt-198-3	fic_1852_9832.txt-757-5	He    spent    whole    afternoons    in    his    study    making    notes    for    counter    or    improved    proposals    he    thought    he    would    send    to    Chipande    or    one    of    the    other    people    he    knew    in    high    positions:    every    time    he    glanced    up,    there    through    his    open    windows    was    Muchanga's    little    company    at    the    bottom    of    the    garden.	   "We    were    out    walking    one    afternoon,    and    the    two    boys    had    been    excursionizing    to    their    heart's    content,    when    Archie    came    up    with,       "   "    O    Miss    Kate!   "	15:25	[15,    24]	24:33	[25,    34]	4.0	0.9671037793159485
afternoon	mag_1845_587596.txt-153-9	fic_1834_7252.txt-206-4	If    you    walk    or    drive    among    them    in    the    afternoon,    they    are    panting    like    gourminds    after    a    turtle    dinner.	About    two    of    the    afternoon    they    reached    the    river,    almost    exhausted.	39:48	[39,    48]	17:26	[17,    26]	4.0	0.961658775806427
afternoon	fic_2000_28733.txt-1-8	fic_1997_54614.txt-159-18	The    dry    surface    layer,    lifted    by    the    afternoon    wind,    dusted    her    damp    skin.	lust    jumped    out    of    it,    out    of    my    seat,    out    of    my    job    (for    the    afternoon).	37:46	[37,    46]	62:71	[62,    71]	4.0	0.8583413362503052
afternoon	fic_1974_782013.txt-1545-5	mag_1980_491790.txt-342-2	We    lazed    along    through    the    afternoon,    all    three    half    asleep    by    the    time    we    made    the    final    mile    before    home.	In    the    afternoon,    I    drove    down    to    the    square.	27:36	[27,    36]	7:16	[7,    16]	4.0	0.9833776950836182
afternoon	mag_1848_565759.txt-119-14	fic_1997_54614.txt-159-18	At    Hudson,    in    Ohio,    at    half    past    three    o'clock,    in    the    afternoon,    full    intelligence    is    received    of    all    the    transactions    of    business,    and    of    all    iraportaut    events    that    have    transpired    in    the    city    of    New    York    up    to    three    o'clock.	lust    jumped    out    of    it,    out    of    my    seat,    out    of    my    job    (for    the    afternoon).	55:64	[55,    64]	62:71	[62,    71]	4.0	0.8405338525772095
afternoon	fic_1833_7321.txt-162-45	nf_2006_776561.txt-30-8	If    one    of    the    neighbors    came    in    to    chat    awhile    in    an    evening,    my    grandfather    was    always    sure    to    go    through    with    the    fatigue    of    Burgwine;    and    if    a    stranger    was    travelling    through    Downingville    and    stopt    at    my    grandfather's    in    a    warm    afternoon    to    get    a    drink    of    water,    it    was    ten    chances    to    one    if    he    could    get    away    till    my    grandfather    had    been    through    the    whole    story    of    the    fatigue    of    Burgwine.	Sitting    in    on    a    class    in    the    late    afternoon,    listening    to    him    draw    on    his    experiences    from    his    Stanley    days,    I    imagined    that    beyond    the    nineteen    young    peo-    ple    seated    in    the    room,    he    was    speaking    to    all    those    he    knew    back    home,    explaining    that    he    had    done    as    well    as    any    executive    could,    in    a    very    changed    world,    to    preserve    Stanley    as    it    was.	231:240	[231,    240]	34:43	[34,    43]	4.0	0.947090744972229
afternoon	fic_1859_1191.txt-2358-42	fic_1825_7041.txt-1647-2	He    was    very    anxious    to    see    his    mother;    but    Doctor    R    --,    desirous    of    making    as    great    a    change    in    the    child's    appearance    and    manner    as    possible,    kept    him    at    his    house    all    night,    and    until    the    afternoon    of    the    next    day.	On    the    afternoon    of    the    same    day    that    Wilson    commenced    his    journey    to    Quebec,    Grace    was    seated    at    her    father's    table,    busily    engaged    in    painting    glass,    --    a    fashionable    amusement    at    that    period.	190:199	[190,    199]	7:16	[7,    16]	4.0	0.9794622659683228
afternoon	fic_1987_780058.txt-2587-3	mag_1980_491790.txt-342-2	Late    in    the    afternoon    they    stumbled,    exhausted    and    worn,    into    the    warm,    gentle    foothills    where    the    jungle    began.	In    the    afternoon,    I    drove    down    to    the    square.	12:21	[12,    21]	7:16	[7,    16]	4.0	0.981202244758606
afternoon	fic_1976_23910.txt-121-6	nf_1834_755185.txt-2925-9	   "And    something    to    drink,    for    afternoon,       "   "    Waclaw    told    them.       "   "   "	Beach    not    to    proceed    up    the    river    until    the    afternoon    of    the    next    day,    as    the    sight    of    troops    by    the    miners    might    make    them    hard    to    manage;    otherwise,    I    assured    the    Major,    he    would    have    no    trouble.	28:37	[29,    38]	44:53	[44,    53]	4.0	0.9459317922592163
afternoon	fic_1971_23878.txt-100-32	fic_1997_54614.txt-159-18	He's    got    all    of    you    inside    the    camera    box,    got    all    the    other    broken    bodies    in    there    too,    and    when    the    battleship    New    Jersey    sailed    by    on    display    th    afternoon    you    were    hit,    he    went    on    deck    and    go    her    in    --    different    lens,    same    box    --    he's    got    all    a    Vietnam    that    floats    his    way    inside    the    box,    Insta    matic.Panatomic,    special    film;    there's    nothing    tha    escapes    his    box.	lust    jumped    out    of    it,    out    of    my    seat,    out    of    my    job    (for    the    afternoon).	148:157	[148,    157]	62:71	[62,    71]	4.0	0.8900341987609863
afternoon	fic_1998_43428.txt-168-2	fic_1850_2310.txt-1321-9	Later    that    afternoon,    they    all    went    for    a    walk    to    the    caves    at    the    far    end    of    the    beach.	She    remained    in    company    with    the    cows    all    the    afternoon.	11:20	[11,    20]	46:55	[46,    55]	4.0	0.9699944257736206
